0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,milliseconds *5
173,198,202,202,201,195,197,196,203,195,194,202,194,197,195,201,202,202,197,200,
172,198,201,203,200,197,195,195,202,198,198,202,196,194,199,199,202,201,194,199,
173,195,200,201,198,201,195,198,201,201,202,200,198,197,202,197,200,199,197,197,
172,198,199,199,197,202,198,202,199,201,201,200,203,198,202,196,199,196,199,196,
172,200,197,198,194,202,203,202,196,201,201,197,201,203,201,195,197,195,202,195,
171,202,194,197,197,199,202,202,196,200,199,194,201,203,200,198,194,195,202,198,
173,201,197,195,199,198,201,200,195,198,198,196,199,201,197,202,196,199,200,202,
172,200,199,198,202,197,200,197,198,197,197,198,197,199,197,202,199,203,199,203,
173,198,202,200,202,193,197,197,203,194,194,202,195,197,194,201,203,202,196,202,
172,196,202,203,201,197,194,195,202,198,198,202,195,194,197,199,202,201,194,200,
172,193,200,201,199,199,195,198,201,201,200,201,198,196,201,197,201,199,196,197,
173,197,199,200,197,202,198,201,199,202,202,199,203,198,202,197,199,197,198,194,
171,200,197,198,194,202,203,202,197,202,201,197,202,203,201,195,196,195,202,195,
172,202,194,197,197,200,203,201,196,200,199,195,201,202,200,198,194,196,202,198,
174,201,197,195,199,199,201,200,195,198,198,196,199,201,197,203,197,198,199,202,
173,199,200,197,202,197,199,198,199,197,197,198,197,199,195,202,199,203,199,202,
174,198,202,201,202,193,197,196,203,195,195,204,195,196,195,201,202,202,196,202,
173,196,202,202,200,197,196,195,203,198,198,203,195,194,198,199,202,200,193,200,
172,194,200,201,198,200,195,199,201,202,202,200,199,197,204,196,200,199,198,197,
