tl,bl,tl2,tr,tr2,br,bl2,br2,x
13,10,53,48,13,10,49,48,10
56,57,57,10,51,50,13,10,787
50,56,53,13,10,56,54,50,10
54,13,10,56,54,50,13,10,786
51,49,55,13,10,56,51,57,384
10,55,54,49,10,49,51,13,164
49,48,50,49,13,10,55,53,590
48,13,10,52,49,52,13,10,204
52,55,57,13,10,51,48,54,155
53,13,10,50,55,55,13,10,375
53,54,13,10,56,49,51,10,633
52,49,13,10,49,48,50,49,428
13,10,49,48,50,50,13,10,395
55,13,10,55,57,48,13,10,76
53,49,13,10,49,48,50,51,689
10,56,48,49,13,10,52,53,83
49,48,50,50,13,10,54,57,8
10,56,49,52,13,10,53,49,775
50,55,13,10,54,49,13,10,6
13,10,55,49,13,10,49,48,782
57,53,51,10,49,54,13,10,389
56,13,10,51,49,50,13,10,399
49,13,10,51,51,51,13,10,2
