tl,bl,tl2,tr,tr2,br,bl2,br2,y
13,10,53,48,13,10,49,48,9
56,57,57,10,51,50,13,10,12
50,56,53,13,10,56,54,50,788
54,13,10,56,54,50,13,10,782
51,49,55,13,10,56,51,57,386
10,55,54,49,10,49,51,13,212
49,48,50,49,13,10,55,53,602
48,13,10,52,49,52,13,10,582
52,55,57,13,10,51,48,54,322
53,13,10,50,55,55,13,10,166
53,54,13,10,56,49,51,10,400
52,49,13,10,49,48,50,49,631
13,10,49,48,50,50,13,10,381
55,13,10,55,57,48,13,10,67
53,49,13,10,49,48,50,51,676
10,56,48,49,13,10,52,53,691
49,48,50,50,13,10,54,57,12
10,56,49,52,13,10,53,49,7
50,55,13,10,54,49,13,10,788
13,10,55,49,13,10,49,48,785
57,53,51,10,49,54,13,10,4
56,13,10,51,49,50,13,10,789
49,13,10,51,51,51,13,10,370
